net.minecraft.GameVersion,net.minecraft.util.MinecraftVersion
net.minecraft.advancements.AdvancementList.Listener,net.minecraft.advancements.AdvancementList.IListener
net.minecraft.advancements.RequirementsStrategy,net.minecraft.advancements.IRequirementsStrategy
net.minecraft.advancements.criterion.AbstractCriterionInstance,net.minecraft.advancements.criterion.CriterionInstance
net.minecraft.block.Block.EnumOffsetType,net.minecraft.block.Block.OffsetType
net.minecraft.block.BlockAbstractBanner,net.minecraft.block.AbstractBannerBlock
net.minecraft.block.BlockAbstractFurnace,net.minecraft.block.AbstractFurnaceBlock
net.minecraft.block.BlockAbstractGlass,net.minecraft.block.AbstractGlassBlock
net.minecraft.block.BlockAbstractSkull,net.minecraft.block.AbstractSkullBlock
net.minecraft.block.BlockAir,net.minecraft.block.AirBlock
net.minecraft.block.BlockAnvil,net.minecraft.block.AnvilBlock
net.minecraft.block.BlockAttachedStem,net.minecraft.block.AttachedStemBlock
net.minecraft.block.BlockBamboo,net.minecraft.block.BambooBlock
net.minecraft.block.BlockBambooSapling,net.minecraft.block.BambooSaplingBlock
net.minecraft.block.BlockBanner,net.minecraft.block.BannerBlock
net.minecraft.block.BlockBannerWall,net.minecraft.block.WallBannerBlock
net.minecraft.block.BlockBarrel,net.minecraft.block.BarrelBlock
net.minecraft.block.BlockBarrier,net.minecraft.block.BarrierBlock
net.minecraft.block.BlockBasePressurePlate,net.minecraft.block.AbstractPressurePlateBlock
net.minecraft.block.BlockBeacon,net.minecraft.block.BeaconBlock
net.minecraft.block.BlockBed,net.minecraft.block.BedBlock
net.minecraft.block.BlockBedrock,net.minecraft.block.BedrockBlock
net.minecraft.block.BlockBeetroot,net.minecraft.block.BeetrootBlock
net.minecraft.block.BlockBell,net.minecraft.block.BellBlock
net.minecraft.block.BlockBlastFurnace,net.minecraft.block.BlastFurnaceBlock
net.minecraft.block.BlockBreakable,net.minecraft.block.BreakableBlock
net.minecraft.block.BlockBrewingStand,net.minecraft.block.BrewingStandBlock
net.minecraft.block.BlockBubbleColumn,net.minecraft.block.BubbleColumnBlock
net.minecraft.block.BlockBush,net.minecraft.block.BushBlock
net.minecraft.block.BlockButton,net.minecraft.block.AbstractButtonBlock
net.minecraft.block.BlockButtonStone,net.minecraft.block.StoneButtonBlock
net.minecraft.block.BlockButtonWood,net.minecraft.block.WoodButtonBlock
net.minecraft.block.BlockCactus,net.minecraft.block.CactusBlock
net.minecraft.block.BlockCake,net.minecraft.block.CakeBlock
net.minecraft.block.BlockCampfire,net.minecraft.block.CampfireBlock
net.minecraft.block.BlockCarpet,net.minecraft.block.CarpetBlock
net.minecraft.block.BlockCarrot,net.minecraft.block.CarrotBlock
net.minecraft.block.BlockCartographyTable,net.minecraft.block.CartographyTableBlock
net.minecraft.block.BlockCarvedPumpkin,net.minecraft.block.CarvedPumpkinBlock
net.minecraft.block.BlockCauldron,net.minecraft.block.CauldronBlock
net.minecraft.block.BlockChest,net.minecraft.block.ChestBlock
net.minecraft.block.BlockChest.InventoryFactory,net.minecraft.block.ChestBlock.InventoryFactory
net.minecraft.block.BlockChorusFlower,net.minecraft.block.ChorusFlowerBlock
net.minecraft.block.BlockChorusPlant,net.minecraft.block.ChorusPlantBlock
net.minecraft.block.BlockCocoa,net.minecraft.block.CocoaBlock
net.minecraft.block.BlockCommandBlock,net.minecraft.block.CommandBlockBlock
net.minecraft.block.BlockComposter,net.minecraft.block.ComposterBlock
net.minecraft.block.BlockComposter.EmptyInventory,net.minecraft.block.ComposterBlock.EmptyInventory
net.minecraft.block.BlockComposter.FullInventory,net.minecraft.block.ComposterBlock.FullInventory
net.minecraft.block.BlockComposter.PartialInventory,net.minecraft.block.ComposterBlock.PartialInventory
net.minecraft.block.BlockConcretePowder,net.minecraft.block.ConcretePowderBlock
net.minecraft.block.BlockConduit,net.minecraft.block.ConduitBlock
net.minecraft.block.BlockContainer,net.minecraft.block.ContainerBlock
net.minecraft.block.BlockCoral,net.minecraft.block.CoralBlock
net.minecraft.block.BlockCoralFan,net.minecraft.block.CoralFanBlock
net.minecraft.block.BlockCoralFin,net.minecraft.block.CoralFinBlock
net.minecraft.block.BlockCoralPlant,net.minecraft.block.CoralPlantBlock
net.minecraft.block.BlockCoralPlantBase,net.minecraft.block.AbstractCoralPlantBlock
net.minecraft.block.BlockCoralPlantDead,net.minecraft.block.DeadCoralPlantBlock
net.minecraft.block.BlockCoralWallFan,net.minecraft.block.CoralWallFanBlock
net.minecraft.block.BlockCoralWallFanDead,net.minecraft.block.DeadCoralWallFanBlock
net.minecraft.block.BlockCrops,net.minecraft.block.CropsBlock
net.minecraft.block.BlockDaylightDetector,net.minecraft.block.DaylightDetectorBlock
net.minecraft.block.BlockDeadBush,net.minecraft.block.DeadBushBlock
net.minecraft.block.BlockDirectional,net.minecraft.block.DirectionalBlock
net.minecraft.block.BlockDirtSnowy,net.minecraft.block.SnowyDirtBlock
net.minecraft.block.BlockDirtSnowySpreadable,net.minecraft.block.SpreadableSnowyDirtBlock
net.minecraft.block.BlockDispenser,net.minecraft.block.DispenserBlock
net.minecraft.block.BlockDoor,net.minecraft.block.DoorBlock
net.minecraft.block.BlockDoublePlant,net.minecraft.block.DoublePlantBlock
net.minecraft.block.BlockDragonEgg,net.minecraft.block.DragonEggBlock
net.minecraft.block.BlockDropper,net.minecraft.block.DropperBlock
net.minecraft.block.BlockEnchantmentTable,net.minecraft.block.EnchantingTableBlock
net.minecraft.block.BlockEndGateway,net.minecraft.block.EndGatewayBlock
